"domain","ip_address"
"www.cpasbien.sh","Addresses:  172.233.219.78"
"www5.flixtor.life","Addresses:  172.237.146.25"
"www1.movies123.yoga"," 74.63.241.29"
"www.123moviess.wtf","Addresses:  2606:4700:3037::6815:1a11"
"www.123movies.poker"," 10.14.0.70"
"ww89.pencurimovies.me"," 207.244.65.58"
"wvw.gomoviesfree.page","Addresses:  2606:4700:3030::6815:1001"
"wovietv.com","Addresses:  2606:4700:3030::6815:6001"
"w3.123moviesc.cyou","Addresses:  172.233.219.123"
"via-torrents.com"," 10.14.0.70"
"theofficetv.com"," 95.211.75.25"
"putloocker.net"," 91.195.240.94"
"pubfilmfree.com","Addresses:  172.237.146.25"
"primewire.es"," 199.59.243.228"
"payzing.mobi","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"mfilmesonline.com"," 10.14.0.70"
"hdfilmesonline.site"," 103.224.212.217"
"french-streaming.org"," 104.247.81.52"
"flixwhat.com"," 10.14.0.70"
"filmeshd.top"," 10.14.0.70"
"comandotorrent.net","Addresses:  172.237.146.8"
"1337x.uproxy.blue","Addresses:  2606:4700:3032::6815:4613"
"123moviestv.me","Addresses:  2606:4700:3034::ac43:9add"
"123moviess.icu","Addresses:  2606:4700:3037::ac43:c6d8"
"123moviesfree.in"," 185.27.134.223"
"123moviesaction.com","Addresses:  172.237.146.38"
"0123movie.ru"," 10.14.0.70"
"ww1.0123movies.ltd","Addresses:  2606:4700:3035::6815:470f"
"filmeshd.pro","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"www.bonstreamingp.com"," 10.14.0.70"
"ww4.123movie.uk"," 103.224.182.252"
"ww1.ytsmx.com","Addresses:  76.223.54.146"
"vvw.papystreaming.stream","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"streamingvf.link"," 10.14.0.70"
"online-4k.com"," 10.14.0.70"
"dpstream.video"," 199.59.243.228"
"www.torrentlatino2.net","Addresses:  172.237.146.38"
"www.mega-filmes.xyz"," 10.14.0.70"
"sockshare.co","Addresses:  76.223.54.146"
"putlockernew.net"," 91.195.240.94"
"f2movies.live"," 103.224.212.213"
"123movies7.club","Addresses:  2606:4700:3030::6815:6001"
"www.voirseries.life","Addresses:  172.233.219.49"
"www6.the123movies.eu"," 103.224.182.253"
"www1.kisscartoon.love"," 103.224.182.253"
"www.123-movies.im"," 10.14.0.70"
"ww1.123movies.link","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"ww11.123movie.sh"," 91.195.240.107"
"wv1.ffmovies.cc"," 146.148.34.125"
"startflix.net"," 10.14.0.70"
"putlockers.ag"," 103.224.182.238"
"movie4kto.net"," 10.14.0.70"
"mfilmeshd.org","Addresses:  2a02:4780:21:723f:43b3:90df:b30e:172"
"izmirkedileri.com"," 10.14.0.70"
"gomoviess.dev"," 10.14.0.70"
"fmovies.gd"," 10.14.0.70"
"filmyanju.co","Addresses:  172.237.146.8"
"filmplay.org","Addresses:  2606:4700:3036::6815:268"
"filmeviatorrents.com"," 37.48.65.153"
"bingewatcha.ca"," 10.14.0.70"
"limetorrents.en-proxy.com","Addresses:  2606:4700:3030::6815:508a"
"www.reinventorrent.com","Addresses:  172.237.146.8"
"www.blueseries.org"," 69.16.230.165"
"w.0123movies.uk"," 10.14.0.70"
"solarmovie-online.cam","Addresses:  2606:4700:3032::ac43:9971"
"elitetorrent.siteunblocked.info","Addresses:  2606:4700:3035::ac43:b8c5"
"dontorrents.one"," 103.224.182.253"
"limetorrents.dirproxy.dev","Addresses:  2606:4700:3030::ac43:89a0"
"www.divicast.com","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"www1.123moviesfree4u.com"," 37.48.65.153"
"www.lugatv.com"," 93.107.1.136"
"www.solarmovie.design"," 207.244.65.58"
"www2.ilcorsaronero-it.cz"," 10.14.0.70"
"www2.9torrent.fr"," 10.14.0.70"
"www1.egybest.nl"," 10.14.0.70"
"1337x.unblocknow.cyou"," 10.14.0.70"
"www.dokiz.cc"," 10.14.0.70"
"gomoviesfree.video"," 10.14.0.70"
"www.baixafilme.net"," 75.2.37.224"
"seriesonlinebr.online"," 10.14.0.70"
"series-flix.com"," 10.14.0.70"
"c1ne.co"," 185.107.56.54"
"yesmovies.tw"," 10.14.0.70"
"www.filmesonlinegratisbr.com"," 52.223.39.56"
"eurostreaming.fyi"," 10.14.0.70"
"www11.fmovies.ag"," 103.224.182.251"
"www.bludvtorrent.com"," 75.2.37.224"
"otorrents.proxybit.monster"," 10.14.0.70"
"www5.0123movies.net","Addresses:  172.234.17.55"
"ww3.yify.is"," 10.14.0.70"
"vembaixarfilmes.net"," 10.14.0.70"
"popfilmehd.com","Addresses:  172.233.219.123"
"hdfilmesdub.com"," 10.14.0.70"
"baixarfilmes.life"," 192.64.119.173"
"www9.soap2dayto.org","Addresses:  172.237.146.8"
"www1.movies123.click","Addresses:  172.233.219.49"
"solarmovies.email"," 10.14.0.70"
"querofilmeshd.org"," 103.224.212.210"
"limetorrents.dirproxy.blue","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"www.tokyvideo.com","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"redecanais.pro"," 10.14.0.70"
