work_description,infringing_url
"The Crown: Season 4: ""Fairytale""
",9
"Sex Education: Season 2 Episode 7: Episode 7
",9
"Disenchantment: Season 2 Episode 5: Our Bodies, Our Elves
",9
"Big Mouth: Season 4: ""What Are You Gonna Do?""
",8
"Narcos: Mexico: Season 2 Episode 2: Alea lacta Est
",8
"The Lovebirds
",8
"All My Friends Are Dead
",8
"Narcos: Season 3 Episode 1: The Kingpin Strategy
",8
"The Crown: Season 3 Episode 7: Moondust
",8
"Netflix: Teenage Bounty Hunters
",8
Netflix: Академия «Амбрелла» (The Umbrella Academy),8
"One Day at a Time: Season 3 Episode 2: Outside
",8
"One Day at a Time: Season 3 Episode 1: The Funeral
",8
"Godzilla Singular Point: Season 1: ""Episode 3""
",8
"The Crown: Season 3 Episode 1: Olding
",8
"Black Mirror: Playtest
",8
"Designated Survivor: Season 3 Episode 10: #truthorconsequences
",8
"Sex Education: Season 2 Episode 4: Episode 4
",8
"Cursed: Season 1 Episode 5: The Joining
",8
"Designated Survivor: Season 3 Episode 3: #privateparts
",8
"DNA
",8
"The Crown: Gloriana
",8
"Narcos: Mexico: Season 2 Episode 10: Free Trade
",7
"13 Reasons Why: Season 2 Episode 10: Smile, Bitches
",7
"Big Mouth: Season 4: ""Four Stories About Hand Stuff""
",7
"13 Reasons Why: Season 2 Episode 13: Bye
",7
Alter Me,7
"Big Mouth: Season 4: ""Horrority House""
",7
"Kingdom Season 1, 2019",7
"Narcos: Season 3 Episode 10: Going Back to Cali
",7
"The Crown: Hyde Park Corner
",7
"The Crown: Pride & Joy
",7
"Narcos: Season 3 Episode 7: Sin Salida
",7
"Black Mirror: Shut Up and Dance
",7
"The Crown: Season 3 Episode 8: Dangling Man
",7
"The Crown: Season 4: ""48:1""
",7
"Sex Education: Season 2 Episode 3: Episode 3
",7
"The Crown: Season 3 Episode 3: Aberfan
",7
"Sex Education: Season 2 Episode 5: Episode 5
",7
"Godzilla Singular Point: Season 1: ""Episode 9""
",7
": Season 1 Episode 10: Tape 5, Side B
",7
"Big Mouth: Season 4: ""The Hugest Period Ever""
",7
"A Thousand Goodnights(一千個晚安, 一千个晚安), 2019",7
"Transformers: War For Cybertron Trilogy: Season 1 Episode 1: Episode 1
",7
"13 Reasons Why: Season 2 Episode 8: The Little Girl
",6
"Transformers: War For Cybertron Trilogy: Season 1 Episode 4: Episode 4
",6
FILM - Fuego negro-Dark Forces,6
"Designated Survivor: Season 3 Episode 6: #whocares
",6
"13 Reasons Why: Season 2 Episode 5: The Chalk Machine
",6
"Cursed: Season 1 Episode 8: The Fey Queen
",6
"Cursed: Season 1 Episode 10: The Sacrifice
",6
"The Crown: Season 3 Episode 2: Margaretology
",6
"The Crown: Assassins
",6
"Designated Survivor: Season 3 Episode 8: #scaredsh*tless
",6
"The Crown: Season 4: ""War""
",6
